job_title,company,location,description
" Graduate Software Engineer "," ABC Tech "," Sydney "," We need PYTHON, SQL and Git!!! "
"Junior Frontend Developer","WebStudio","Melbourne","Looking for JS, React and CSS."
"Junior Frontend Developer","WebStudio","Melbourne","Looking for JS, React and CSS."
" Backend Developer "," CloudApp "," Brisbane "," Experience with Java, Spring Boot, SQL and AWS is preferred. "
"Machine Learning Intern","AI Lab","Sydney","Python, ML, pandas and data analysis skills required."
"Data Analyst","DataWorks","Sydney","You will use SQL, py, Excel and dashboards."
"","","Sydney","Python role with SQL."
"Software Engineer","", "Melbourne","Java and Docker experience needed."
"Data Engineer","PipelinePro","","SQL, postgres, Python and cloud experience."
"Junior Developer","CodeHouse","Perth",""
" Full Stack Developer "," StartupX "," Sydney "," Need JavaScript, React, Node.js, Git and Docker. "
"Full Stack Developer","StartupX","Sydney","Need JavaScript, React, Node.js, Git and Docker."
"AI Research Assistant","UniLab","Canberra","Looking for machine learning, Python, PyTorch and data skills."
"Cloud Graduate Engineer","CloudNova","Sydney","AWS, Docker, Linux, SQL and basic Python."
"Database Intern","DBWorks","Melbourne","Postgres, PostgreSQL, SQL and data modelling."
"Frontend Intern","PixelStudio","Sydney","React.js, JS, HTML, CSS and TypeScript preferred."
"Backend Intern","ServerSide","Adelaide","FastAPI, Python, PostgreSQL and Git experience."
"Graduate Software Engineer","ABC Tech","Sydney","We need python, sql and git."
"Mobile Developer Intern","AppWorks","Melbourne","Java, Kotlin, Android and Git."
"Junior Data Scientist","InsightAI","Sydney","ML, Python, pandas, scikit-learn and SQL."
