job_title,company,location,description,role_category
Graduate Software Engineer,ABC Tech,Sydney,we need python sql and git,Software Engineering
Junior Frontend Developer,WebStudio,Melbourne,looking for js react and css,Frontend
Backend Developer,CloudApp,Brisbane,experience with java spring boot sql and aws is preferred,Backend
Machine Learning Intern,AI Lab,Sydney,python ml pandas and data analysis skills required,Machine Learning
Data Analyst,DataWorks,Sydney,you will use sql py excel and dashboards,Data / Analytics
Full Stack Developer,StartupX,Sydney,need javascript react node.js git and docker,Full Stack
AI Research Assistant,UniLab,Canberra,looking for machine learning python pytorch and data skills,Machine Learning
Cloud Graduate Engineer,CloudNova,Sydney,aws docker linux sql and basic python,Cloud / DevOps
Database Intern,DBWorks,Melbourne,postgres postgresql sql and data modelling,Other
Frontend Intern,PixelStudio,Sydney,react.js js html css and typescript preferred,Frontend
Backend Intern,ServerSide,Adelaide,fastapi python postgresql and git experience,Backend
Mobile Developer Intern,AppWorks,Melbourne,java kotlin android and git,Backend
Junior Data Scientist,InsightAI,Sydney,ml python pandas scikit-learn and sql,Machine Learning
