job_title,company,location,description
Graduate Software Engineer,ABC Tech,Sydney,we need python sql and git
Junior Frontend Developer,WebStudio,Melbourne,looking for js react and css
Backend Developer,CloudApp,Brisbane,experience with java spring boot sql and aws is preferred
Machine Learning Intern,AI Lab,Sydney,python ml pandas and data analysis skills required
Data Analyst,DataWorks,Sydney,you will use sql py excel and dashboards
Full Stack Developer,StartupX,Sydney,need javascript react node.js git and docker
AI Research Assistant,UniLab,Canberra,looking for machine learning python pytorch and data skills
Cloud Graduate Engineer,CloudNova,Sydney,aws docker linux sql and basic python
Database Intern,DBWorks,Melbourne,postgres postgresql sql and data modelling
Frontend Intern,PixelStudio,Sydney,react.js js html css and typescript preferred
Backend Intern,ServerSide,Adelaide,fastapi python postgresql and git experience
Mobile Developer Intern,AppWorks,Melbourne,java kotlin android and git
Junior Data Scientist,InsightAI,Sydney,ml python pandas scikit-learn and sql
